 INFO  Accepting connections at http://localhost:3001
 HTTP  5/1/2026 5:11:01 PM ::1 GET /portal
 HTTP  5/1/2026 5:11:01 PM ::1 Returned 200 in 76 ms
 HTTP  5/1/2026 5:11:37 PM ::1 GET /portal
 HTTP  5/1/2026 5:11:37 PM ::1 Returned 200 in 3 ms
 HTTP  5/1/2026 5:11:46 PM ::1 GET /portal
 HTTP  5/1/2026 5:11:46 PM ::1 Returned 200 in 8 ms
 HTTP  5/1/2026 5:11:46 PM ::1 GET /site-content.js
 HTTP  5/1/2026 5:11:46 PM ::1 Returned 200 in 9 ms
 HTTP  5/1/2026 5:11:46 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:11:46 PM ::1 Returned 200 in 9 ms
 HTTP  5/1/2026 5:11:47 PM ::1 GET /sw.js
 HTTP  5/1/2026 5:11:47 PM ::1 Returned 200 in 4 ms
 HTTP  5/1/2026 5:11:47 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:11:47 PM ::1 Returned 200 in 8 ms
 HTTP  5/1/2026 5:11:47 PM ::1 GET /
 HTTP  5/1/2026 5:11:47 PM ::1 GET /index.html
 HTTP  5/1/2026 5:11:47 PM ::1 Returned 301 in 2 ms
 HTTP  5/1/2026 5:11:47 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:11:47 PM ::1 Returned 304 in 7 ms
 HTTP  5/1/2026 5:11:47 PM ::1 Returned 200 in 23 ms
 HTTP  5/1/2026 5:11:47 PM ::1 GET /index
 HTTP  5/1/2026 5:11:47 PM ::1 Returned 301 in 9 ms
 HTTP  5/1/2026 5:11:47 PM ::1 GET /favicon.ico
 HTTP  5/1/2026 5:11:47 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:11:47 PM ::1 Returned 304 in 3 ms
 HTTP  5/1/2026 5:11:47 PM ::1 GET /
 HTTP  5/1/2026 5:11:47 PM ::1 Returned 304 in 21 ms
 HTTP  5/1/2026 5:11:47 PM ::1 Returned 404 in 43 ms
 HTTP  5/1/2026 5:12:36 PM ::1 GET /portal
 HTTP  5/1/2026 5:12:36 PM ::1 Returned 200 in 51 ms
 HTTP  5/1/2026 5:12:36 PM ::1 GET /site-content.js
 HTTP  5/1/2026 5:12:36 PM ::1 Returned 200 in 2 ms
 HTTP  5/1/2026 5:12:36 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:12:36 PM ::1 Returned 200 in 1 ms
 HTTP  5/1/2026 5:12:37 PM ::1 GET /sw.js
 HTTP  5/1/2026 5:12:37 PM ::1 Returned 200 in 2 ms
 HTTP  5/1/2026 5:12:37 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:12:37 PM ::1 Returned 200 in 4 ms
 HTTP  5/1/2026 5:12:37 PM ::1 GET /
 HTTP  5/1/2026 5:12:37 PM ::1 GET /index.html
 HTTP  5/1/2026 5:12:37 PM ::1 Returned 301 in 1 ms
 HTTP  5/1/2026 5:12:37 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:12:37 PM ::1 Returned 200 in 12 ms
 HTTP  5/1/2026 5:12:37 PM ::1 GET /favicon.ico
 HTTP  5/1/2026 5:12:37 PM ::1 Returned 304 in 5 ms
 HTTP  5/1/2026 5:12:37 PM ::1 GET /index
 HTTP  5/1/2026 5:12:37 PM ::1 Returned 301 in 3 ms
 HTTP  5/1/2026 5:12:37 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:12:37 PM ::1 Returned 304 in 5 ms
 HTTP  5/1/2026 5:12:37 PM ::1 Returned 404 in 24 ms
 HTTP  5/1/2026 5:12:37 PM ::1 GET /
 HTTP  5/1/2026 5:12:37 PM ::1 Returned 304 in 2 ms
 HTTP  5/1/2026 5:13:06 PM ::1 GET /portal?mobile-check=1
 HTTP  5/1/2026 5:13:06 PM ::1 Returned 200 in 27 ms
 HTTP  5/1/2026 5:13:06 PM ::1 GET /site-content.js
 HTTP  5/1/2026 5:13:06 PM ::1 Returned 200 in 2 ms
 HTTP  5/1/2026 5:13:06 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:13:06 PM ::1 Returned 200 in 2 ms
 HTTP  5/1/2026 5:13:07 PM ::1 GET /sw.js
 HTTP  5/1/2026 5:13:07 PM ::1 Returned 200 in 2 ms
 HTTP  5/1/2026 5:13:07 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:13:07 PM ::1 GET /favicon.ico
 HTTP  5/1/2026 5:13:07 PM ::1 Returned 200 in 3 ms
 HTTP  5/1/2026 5:13:07 PM ::1 Returned 404 in 7 ms
 HTTP  5/1/2026 5:13:07 PM ::1 GET /
 HTTP  5/1/2026 5:13:07 PM ::1 Returned 200 in 2 ms
 HTTP  5/1/2026 5:13:07 PM ::1 GET /index.html
 HTTP  5/1/2026 5:13:07 PM ::1 Returned 301 in 1 ms
 HTTP  5/1/2026 5:13:07 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:13:07 PM ::1 Returned 304 in 2 ms
 HTTP  5/1/2026 5:13:07 PM ::1 GET /index
 HTTP  5/1/2026 5:13:07 PM ::1 Returned 301 in 1 ms
 HTTP  5/1/2026 5:13:07 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:13:07 PM ::1 GET /
 HTTP  5/1/2026 5:13:07 PM ::1 Returned 304 in 4 ms
 HTTP  5/1/2026 5:13:07 PM ::1 Returned 304 in 6 ms
 HTTP  5/1/2026 5:13:39 PM ::1 GET /portal?mobile-check=2
 HTTP  5/1/2026 5:13:39 PM ::1 Returned 200 in 9 ms
 HTTP  5/1/2026 5:13:39 PM ::1 GET /site-content.js
 HTTP  5/1/2026 5:13:39 PM ::1 Returned 200 in 36 ms
 HTTP  5/1/2026 5:13:39 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:13:39 PM ::1 Returned 200 in 5 ms
 HTTP  5/1/2026 5:13:39 PM ::1 GET /sw.js
 HTTP  5/1/2026 5:13:39 PM ::1 Returned 200 in 2 ms
 HTTP  5/1/2026 5:13:40 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 200 in 2 ms
 HTTP  5/1/2026 5:13:40 PM ::1 GET /favicon.ico
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 404 in 4 ms
 HTTP  5/1/2026 5:13:40 PM ::1 GET /
 HTTP  5/1/2026 5:13:40 PM ::1 GET /index.html
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 301 in 1 ms
 HTTP  5/1/2026 5:13:40 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 200 in 5 ms
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 304 in 3 ms
 HTTP  5/1/2026 5:13:40 PM ::1 GET /index
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 301 in 2 ms
 HTTP  5/1/2026 5:13:40 PM ::1 GET /
 HTTP  5/1/2026 5:13:40 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 304 in 2 ms
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 304 in 3 ms
 HTTP  5/1/2026 5:13:56 PM ::1 GET /portal
 HTTP  5/1/2026 5:13:56 PM ::1 Returned 200 in 4 ms
 HTTP  5/1/2026 5:13:56 PM ::1 GET /site-content.js
 HTTP  5/1/2026 5:13:56 PM ::1 Returned 200 in 5 ms
 HTTP  5/1/2026 5:13:56 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:13:56 PM ::1 Returned 200 in 8 ms
